2017-01-23 16:17:59
Tag: 俄罗斯
The number of books: 817 

ID, rating, votes, title
1856494, 9.3, 6359, 卡拉马佐夫兄弟
1022632, 8.7, 7492, 罪与罚
1013469, 8.6, 4432, 战争与和平（全四册）
1859108, 8.8, 3263, 白痴
1077492, 9.0, 2438, 大师和玛格丽特
2042633, 9.0, 2338, 金蔷薇
1083435, 8.7, 3195, 契诃夫短篇小说选
26704403, 9.0, 1843, 二手时间
1469878, 8.6, 2445, 日瓦戈医生
1012489, 7.7, 8994, 童年 在人间 我的大学
1315844, 9.1, 1275, 古拉格群岛（上中下）
1491853, 8.2, 3797, 变色龙
1035478, 8.6, 2144, 静静的顿河（全四册）
10759466, 9.0, 1306, 地下室手记
2228707, 8.9, 1343, 癌症楼
1088418, 9.0, 1081, 死屋手记
26053771, 8.6, 1326, 小于一
1434071, 7.9, 2994, 我们
26264154, 8.6, 1175, 悲伤与理智
1707158, 9.4, 516, 微积分学教程（第一卷）
1437488, 9.2, 557, 群魔
2057291, 8.1, 1915, 守夜人
21993104, 8.1, 1874, 白夜
1027002, 8.6, 966, 被欺凌与被侮辱的
1074155, 8.8, 773, 骑兵军
1083030, 9.0, 626, 双重人格 地下室手记
1958871, 8.3, 1308, 普宁
1144865, 9.1, 534, 见证
26587564, 8.3, 1197, 我已与一万亿株白桦相逢
1031354, 8.0, 1709, 死魂灵
11605940, 8.5, 912, 倒转红轮
26394018, 9.1, 486, 生活与命运
1894740, 8.5, 877, 猎人笔记
1023467, 8.5, 842, 叶甫盖尼·奥涅金
1046680, 8.6, 750, 茨维塔耶娃文集：诗歌
2378291, 8.6, 728, 黄昏使者
3427928, 8.8, 573, 契诃夫的一生
1039020, 8.4, 870, 普希金诗选
2266567, 9.2, 382, 伊凡·伊里奇的死
3219393, 8.6, 661, 最后的守护人
4191696, 8.8, 534, 狗心
1021928, 8.4, 810, 这里的黎明静悄悄……
1316396, 8.6, 646, 俄罗斯列宾美术学院珍藏素描精品选
2131426, 9.0, 410, 涅朵奇卡·涅茨瓦诺娃
24935031, 9.3, 309, 战争与和平
2226171, 8.1, 1043, 守日人
1855425, 8.6, 585, 当代英雄
1185883, 8.8, 467, 白轮船
1028201, 8.8, 464, 文明的孩子
1926728, 9.3, 291, 往事与随想
25912106, 9.1, 342, 万尼亚舅舅·三姊妹·樱桃园
2328539, 9.4, 261, 契诃夫戏剧集
1105348, 8.7, 481, 青春禁忌游戏
1728600, 9.4, 253, 微积分学教程（第2卷）
1049561, 8.9, 387, 俄国思想家
1291209, 8.6, 496, 曼德尔施塔姆诗选
1519058, 7.8, 1249, 母亲
1466999, 8.1, 776, 上尉的女儿
1205419, 8.2, 682, 初恋
1016336, 8.3, 600, 三诗人书简
1707156, 9.6, 183, 微积分学教程（第3卷）
2364815, 8.5, 472, 伊凡·杰尼索维奇的一天
3903121, 8.9, 316, 第六病室
2093212, 9.0, 269, 青铜骑士
1201946, 8.0, 718, 父与子
1959124, 9.0, 259, 生活之路
1937449, 9.2, 207, 陀思妥耶夫斯基诗学问题
3781776, 9.2, 207, 纳博科夫传（上下册）
25912108, 9.3, 185, 伊凡诺夫·海鸥
2998637, 8.6, 334, 俄罗斯史
1288895, 9.0, 233, 在乌苏里的莽林中
1483001, 9.0, 228, 大自然的日历
10537662, 8.0, 600, 世上的光
1484616, 9.0, 222, 鱼王
1000325, 8.8, 261, 人·岁月·生活（全三册）
1482975, 9.0, 219, 普希金童话诗
1131617, 8.2, 465, 变色龙
1057697, 8.9, 234, 戏剧三种
25283615, 8.7, 270, 萨哈林旅行记
1480064, 8.7, 265, 夏加尔
1186425, 9.1, 185, 中短篇小说选
4149229, 9.2, 171, 托尔斯泰与陀思妥耶夫斯基（上下）
1843808, 9.4, 147, 蒲宁文集（全五册）
2082032, 7.8, 662, 巴登夏日
2970801, 8.7, 254, 契诃夫小说全集（第1卷）
24738206, 9.1, 181, 曼德施塔姆夫人回忆录
1983356, 8.6, 277, 敖德萨故事
3069267, 9.1, 174, 陀思妥耶夫斯基的世界观
1085168, 8.9, 200, 青铜骑士
1784339, 8.8, 209, 诸神之死
5253168, 8.8, 207, 安娜·卡列尼娜（全两册）
1960038, 9.0, 171, 诸神的复活
2970799, 9.6, 110, 契诃夫小说全集（第10卷）
