2017-01-23 16:17:59
Tag: 方法论
The number of books: 930 

ID, rating, votes, title
4012040, 8.5, 417, 妙趣横生博弈论
24745639, 7.8, 924, 麦肯锡教我的写作武器
1019959, 7.8, 898, 精力管理
20258506, 7.8, 889, 怎样读书
2117279, 7.7, 1012, 教授为什么没告诉我
3874395, 8.9, 273, 思想的力量
26605978, 8.4, 439, 超越智商
3518087, 8.5, 394, 给研究生的学术建议
1448727, 8.4, 430, 博弈论基础
1050510, 7.3, 1694, 六顶思考帽
1043650, 8.6, 343, 中国历史研究法
7001106, 7.4, 1351, 时间管理
20493042, 7.3, 1541, 这样读书就够了
11528220, 8.1, 534, 系统之美
1238685, 8.6, 313, 统计与真理
26662600, 8.2, 463, 哈佛非虚构写作课
1315775, 8.4, 373, 知性改进论
1588297, 9.0, 215, 统计学
1850407, 9.1, 197, 数学的发现
26761859, 7.9, 635, 精要主义
1188729, 8.8, 252, 产权与制度变迁
6710983, 8.1, 502, 我最想要的记忆魔法书
1232071, 8.5, 322, 如何求解问题
3822285, 8.7, 264, 自我导向行为
1867455, 7.9, 600, 像外行一样思考，像专家一样实践——科研成功之道
10531723, 8.5, 314, 爱因斯坦传
26260187, 7.7, 749, 零秒思考
6077688, 6.8, 2912, 别告诉我你会记笔记
4924164, 8.3, 365, 软件开发者路线图
1137278, 8.5, 299, 系统化思维导论（银年纪念版）
4247329, 8.5, 298, 致青年学者
26890188, 8.6, 271, 大师们的写作课：好文笔是读出来的
24753011, 9.3, 152, 葛传椝英语写作
1022915, 8.5, 296, 思想史的写法
20036150, 9.1, 175, Principles
3815992, 6.9, 2308, 白骨精学习法
2155338, 9.1, 171, 货币、方法与市场过程
5068097, 8.8, 218, 计量经济学导论
11529133, 8.9, 199, GRE阅读制胜法则
1230328, 9.0, 182, 数学（第一卷）
2169896, 8.4, 300, 企业参谋
2124368, 8.7, 221, 证明与反驳
4159753, 9.3, 137, Your Brain at Work
5417235, 7.9, 489, 失败的逻辑
26779688, 8.4, 289, 做出好决定
10484712, 7.7, 616, 驱动力
25742296, 8.1, 387, 有限与无限的游戏
1541591, 8.3, 315, 质的研究方法与社会科学研究
25779342, 7.7, 606, 麦肯锡教我的思考武器
26286306, 9.2, 144, 葛传椝向学习英语者讲话
2049392, 8.9, 181, 社会研究方法
1836616, 8.5, 254, 写文化
5500869, 7.8, 525, 小说写作教程
1442238, 8.1, 368, 学习改变命运
4243207, 7.8, 504, 悠游度过一天的24小时
26586771, 7.5, 727, 神奇手账
2979192, 8.6, 220, 矛盾论
10441244, 6.8, 2096, 整理的艺术
1132623, 8.4, 261, 成为技术领导者
3162523, 9.3, 124, Mostly Harmless Econometrics
1608312, 8.5, 235, 呻吟语
26873486, 8.5, 235, 运营之光
2985995, 8.1, 347, 爱上统计学
24527462, 8.6, 214, 人类学入门
19945741, 8.0, 382, 趋势的力量
2356843, 8.9, 164, 控制论
1959062, 8.7, 193, 历史学家的修养和技艺
5063384, 7.6, 595, 思考的艺术
1022739, 8.0, 371, 从牛顿、达尔文到巴菲特
1073626, 8.7, 190, 社会研究的统计应用
25741447, 7.1, 1172, 小通鉴
1393623, 8.3, 270, 实验心理学
1255317, 8.6, 204, 韦伯作品集Ⅶ ：社会学的基本概念
2261591, 8.3, 267, 怎样写作
1156866, 8.0, 358, 系统思考
3024461, 8.4, 238, 摩洛哥田野作业反思
5399343, 7.8, 436, 论证是一门学问
4169488, 7.7, 489, 思维导图系列丛书（全五册）
3185166, 7.7, 488, 世界最简单解决问题的方法
26649850, 7.9, 387, 深度学习的艺术
4933040, 9.3, 111, 回归分析
10769835, 8.8, 160, 历史学十二讲
1430203, 8.8, 159, 系统的哲学
7154320, 7.5, 588, 与爱因斯坦月球漫步
25838004, 8.8, 157, 法学论文写作
3168355, 8.8, 156, Data Flow
1256169, 8.7, 169, 真理与方法（上卷）
1824153, 8.7, 168, 天资与修养
1314996, 8.2, 263, 论经济学方法
3916049, 7.3, 747, 快速阅读
21372237, 8.4, 210, 极客与团队
1703433, 8.8, 149, 探求真理的指导原则
26839427, 8.1, 274, 慢思考：大脑超载时代的思考学
24902403, 9.2, 108, 忙总管理笔记
1926932, 8.1, 268, 有了博士学位还不够
4169625, 7.1, 895, 杠杆阅读术
1854768, 8.6, 168, 社会学方法与定量研究
26753478, 7.3, 644, 神逻辑
1853209, 8.4, 192, 政治学研究方法指南
26677905, 8.0, 281, 打破自我的标签
25780952, 7.9, 307, 职场解释系
3132014, 9.3, 94, 组织与管理研究的实证方法
4201118, 8.0, 273, 我们如何思维
1426502, 8.8, 133, 青年与学问
25858710, 8.2, 222, 为什么？
25846315, 9.2, 99, The Sense of Style
4760725, 7.4, 531, 演讲之禅：一位技术演讲家的自白
2300690, 8.5, 168, 为学十六法
1443526, 8.2, 220, 新工具
3761236, 7.3, 602, 启动大脑
20445391, 8.5, 167, 思想史研究课堂讲录续编
3865389, 7.4, 524, 超级记忆
26430442, 7.1, 785, 秋叶：如何高效读懂一本书
3075468, 8.9, 120, 哲学史方法论十四讲
26743071, 7.6, 404, 学会学习
4157223, 7.1, 775, 效率提升10倍的google化知性生产技巧
3208050, 7.6, 401, 知道做到
5406042, 7.7, 353, 设计原本
3137159, 7.4, 502, 用图表说话
26897266, 8.6, 147, 考拉小巫的英语学习日记
1077279, 7.8, 312, 读书的艺术
10788371, 6.9, 1009, 清单革命
20284332, 8.9, 116, 学术研究，你的成功之道
6526308, 7.8, 311, 怎样做文献综述
4902493, 7.6, 389, 我这样考上东大和哈佛
1494299, 8.9, 115, 经济科学的性质和意义
2331448, 9.0, 106, 作文三书（全三册）
6761174, 7.6, 379, 身边的逻辑学
4062798, 7.6, 375, 别让猴子跳回背上
4177311, 7.5, 420, 创造商业头脑的7种框架力
3729187, 7.3, 533, 博赞学习技巧
4246477, 7.5, 414, 问题解决力
3354596, 8.8, 119, 创新算法
25879534, 7.7, 326, 学会独立思考
4200631, 7.3, 510, 麦肯锡工具
26652812, 7.4, 440, 匠人精神
25744065, 8.3, 169, 决断力
4736469, 8.2, 178, 21天掌握当众讲话诀窍
20501255, 8.6, 126, 朱光潜谈读书
2372323, 8.9, 100, 科学研究的艺术
10593781, 8.2, 176, 如何做田野笔记
11615069, 7.8, 260, 好工作是设计出来的
1051507, 6.9, 803, 10倍速影像阅读法
5063383, 7.9, 229, 我为什么看不懂你
3430960, 9.0, 91, IDEO Method Cards
25871818, 8.6, 122, 讲理
4886012, 9.2, 79, 问卷统计分析实务
26099295, 7.6, 310, 番茄工作法图解
25873066, 7.1, 573, 麦肯锡工作法
2178389, 8.8, 103, 如何撰写和发表科技论文
1599035, 8.4, 141, 简捷启发式
1824306, 7.2, 496, 学习的艺术
1273804, 8.4, 140, 法学方法论
24298931, 7.2, 489, 专注力
4882100, 8.6, 118, 人类知识原理
3234797, 8.8, 101, 应用STATA做统计分析
3892590, 8.6, 117, 面向对象分析与设计
25963469, 8.5, 126, 好好讲道理
1766670, 9.5, 63, Instructor&#39;s Manual t/a Structure and Interpretation of Computer Programs
1938119, 8.3, 148, 自然科学的哲学
4165362, 7.4, 366, 尼采的锤子
6806468, 9.3, 70, 英文疑难详解
20261700, 8.0, 189, 好战略，坏战略
26422177, 7.6, 281, 轻松学会独立思考
1173463, 8.2, 155, 比知识还多
2123587, 8.5, 119, 作文杂谈
5946563, 7.5, 308, 学习要像加勒比海盗
11523251, 6.6, 1079, 超级时间整理术
2255378, 7.4, 345, 学习这回事
26853123, 7.7, 245, 深阅读
26145094, 7.8, 220, 结构思考力
26413204, 6.4, 1517, 聪明人用方格笔记本
11160553, 7.2, 436, 你的第一本思维导图操作书
26895988, 8.0, 179, 学习之道
25871630, 8.6, 107, 作文七巧
1823970, 7.7, 240, 思考的力量
3115238, 7.8, 216, 如何听如何说
2386085, 9.0, 80, Designing Social Inquiry
4249895, 7.1, 487, 考上第一志願的筆記本：東大合格生筆記大公開
10570075, 7.6, 265, 找到人生的好感觉
4292525, 8.8, 91, 进化思维
25818674, 8.4, 123, 创意的生成
1043571, 7.9, 191, 杜子华英语成功学
3069880, 7.9, 189, BCG视野
1288848, 9.3, 64, 社会研究方法基础
26747250, 8.6, 103, 开发故事创意（第2版）
6896089, 9.2, 68, 论方法
4042144, 7.3, 359, 每天坚持30分钟
2999515, 8.3, 130, 论十大关系
20272125, 8.0, 168, 选择卓越
10570885, 8.6, 101, 芝加哥学术生涯规划
4257259, 8.1, 152, 设计是什么
3567390, 8.2, 139, 艺术史方法与理论
5297434, 8.5, 108, 要件审判九步法
10485205, 7.9, 178, 搞定Ⅲ
1283433, 8.7, 91, 科学研究纲领方法论
26685458, 7.5, 267, 用户力：需求驱动的产品、运营和商业模式
3918519, 7.9, 175, Super Freakonomics
6802217, 8.5, 104, 没有边界的教室
1964207, 7.5, 260, 社交商
7564081, 8.8, 81, 人类学
5424508, 9.4, 55, 高级计量经济学及Stata应用
26809387, 7.5, 245, 印象笔记留给你的空间
25830853, 7.3, 305, 如何把事情做到最好
11517171, 8.6, 89, 创意，是一笔灵魂交易
10508053, 8.0, 145, 孟子趣说3
1173944, 9.1, 63, 管理研究方法论
4817904, 9.1, 63, 以人为中心心理咨询实践
4988498, 8.1, 132, 地头力
3359555, 7.7, 192, 像经济学家一样思考
25850118, 8.2, 120, 日本读书论
5322674, 6.9, 492, 思考的整理术
4097785, 9.3, 55, Principles and Practice in Second Language Acquisition
4257314, 9.1, 62, 形式综合论
1228801, 8.0, 141, 国际关系研究实用方法
1005930, 8.1, 129, 决策的艺术
1976236, 8.3, 109, 入世心法
1030243, 8.8, 75, 孙子三论
2155336, 8.5, 93, 经济学方法论探究
3111359, 8.1, 128, 社会学论文写作指南
20485924, 8.4, 100, Give and Take
25919337, 8.3, 108, 冲突与悬念
26895836, 9.4, 51, 不发表 就出局
1070879, 7.8, 167, 中国研究的范式问题讨论
26358914, 7.8, 167, 正义的成本
6019667, 7.5, 227, 选择的艺术
5248004, 8.2, 116, 设计思维
1660351, 9.3, 53, 20世纪中国语言学方法论（1898-1998）
3059144, 9.3, 53, Fundamentals of Piano Practice
1828739, 8.3, 105, 史学方法论
1482413, 8.0, 135, 水平思考
1265007, 8.3, 104, 社会科学方法论
25984449, 8.1, 122, 到法学院学什么
26148763, 8.6, 82, 计算的本质
11629000, 8.2, 111, 怎样读古书
2777962, 9.0, 62, Economical Writing 2ed
5408891, 7.4, 236, 反常识经济学
3347618, 7.4, 235, 高绩效人士的五项管理
2563318, 9.8, 39, Passion
20507211, 7.4, 232, 创新者的基因
11578220, 9.3, 50, 量化数据分析
3164127, 8.3, 98, 就这样享用Word
1065165, 7.8, 149, 我怎样读书
26851693, 9.1, 55, 单点突破
1965596, 8.7, 71, 科学与方法
3414390, 7.9, 133, 超越哈佛
1038663, 7.4, 218, 10倍速学习法
10567201, 9.7, 39, Writing Science
1041513, 8.8, 65, 思想与方法
3198652, 8.3, 93, 大观念
1843363, 8.4, 86, 政治科学研究方法
1100070, 8.1, 109, 踏踏实实学英语
25828086, 8.2, 100, 我们怎样读书
4735991, 9.1, 53, 语言兴衰论
26169876, 7.4, 210, 逻辑思维，只要5步
6104554, 7.5, 188, 金字塔原理2
1966688, 8.7, 68, 经济学的哲学
1492601, 7.8, 139, 媒介与文化研究方法
1507312, 8.2, 95, 结构方程模型及其应用
10433731, 8.0, 112, 视觉会议
2296845, 6.9, 363, 专注力
1216637, 8.3, 87, 系统设计的一般原理
1083104, 7.6, 160, 如何通过考试
26649613, 8.7, 65, Deep Work
26761558, 6.9, 355, 日常生活中的思维导图
1466083, 9.5, 40, The Craft of Research
26749968, 7.2, 240, 超预测
3800835, 8.2, 91, 博士论文写作技巧
26320047, 8.7, 63, 浪漫主义宣言
24524405, 6.4, 723, Evernote超效率数字笔记术
1226635, 8.3, 83, 思维方式
26150495, 8.3, 83, 论历史
1176933, 8.0, 105, 探索需求
26828205, 7.4, 183, 一本小小的蓝色逻辑书
5362356, 8.1, 95, 思维
24529592, 8.3, 81, 论著与生活
6510686, 6.5, 583, Google时代的工作方法
26828718, 8.8, 57, 社群营销
1490634, 8.4, 74, 大家来做口述历史
3069835, 8.4, 74, 数学领域中的发明心理学
3576048, 7.6, 144, 创业圣经
6848172, 8.5, 68, 政治哲学史讲义
5940650, 7.4, 174, 简单的力量
3319177, 9.5, 37, 语法调查研究手册
1420947, 9.1, 46, 逻辑与语言
1320151, 8.1, 91, 人是如何学习的
3129101, 8.8, 55, 萨维尼法学方法论讲义与格林笔记
4836530, 8.8, 55, 剑桥学习科学手册
1956618, 8.4, 72, 政治科学的理论与方法
6990093, 6.1, 1097, 超级整理术
3597412, 7.9, 105, 人类学的四大传统
1910297, 7.6, 137, 批判性思维教程
4031959, 7.6, 137, 软件开发沉思录
1510740, 8.1, 88, 全部知识学的基础
1547285, 8.1, 88, 中层理论
3934265, 8.4, 70, 像艺术家一样思考系列
2327354, 8.5, 65, 古今名人读书法
1849836, 8.2, 80, Get Things Done
4770564, 8.7, 56, 心理学研究方法
1872065, 8.1, 86, 政治学理论与方法
20493300, 8.0, 93, 高效能人士的执行4原则
3033504, 8.9, 49, 课程与教学的基本原理
10801087, 8.2, 79, 项目计划、进度与控制
1273675, 9.2, 41, 不对称和标记论
4817217, 8.1, 85, 全能记者必备
26419762, 8.1, 85, 成为技术领导者
5423049, 8.4, 67, 如何学习研究世界史
4820229, 8.9, 48, 法学方法论
25712581, 7.0, 246, 整理的艺术3：创意是整理出来的
26681681, 7.8, 107, 深度案例思考法
1101174, 8.5, 62, 理论、方法、发展趋势
26214776, 7.6, 128, 实力、运气与成功
25932254, 8.1, 82, 故事工程
25931208, 7.2, 189, 反直觉思考
20499157, 7.0, 238, 笨蛋！重要的是逻辑！
2995495, 9.2, 39, 經濟學的最後基礎
3287271, 8.2, 72, 怎样做理论
26611866, 9.3, 36, 曾国藩治学方法
26605738, 8.9, 45, 做孩子最好的英语学习规划师
26628012, 7.4, 144, 人生总会有办法
1032870, 8.4, 62, 集中精力做重要的事
26616951, 7.7, 108, WOOP思维心理学
1740511, 8.0, 83, 我们关于外间世界的知识
25906968, 8.0, 82, 治学的门径与取法
10771463, 7.8, 96, 激活你大脑的“图解思考”术
2369058, 8.7, 49, 色彩形象坐标
20434546, 8.5, 55, 人文与社会科学学术论文写作指南
24869618, 8.5, 55, 通用设计方法
3866434, 8.1, 73, 社会调查自白
1903035, 9.2, 36, Exploratory Social Network Analysis with Pajek
26655043, 8.6, 51, 会读才会写
2287720, 8.1, 72, 如何成为卓越的大学教师
3733129, 8.3, 62, 论法学研究方法
1912888, 8.0, 77, 谁想成为科学家
2009919, 7.4, 131, 社会网络分析法
3752414, 8.1, 71, 市场的本质
20442526, 8.7, 47, 裁判的方法
1322091, 7.9, 83, 天才的13个思维工具
4917103, 7.8, 90, 记忆的魔术
25873525, 9.1, 37, 哲学的邀请：问题与选择
26613055, 8.5, 53, 超级快速阅读
1842736, 9.2, 35, Game Theory
25976937, 8.2, 65, 德州扑克小绿皮书
4221674, 7.4, 128, 记忆导图
3518082, 8.0, 75, 如何撰写与发表社会科学论文
